acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
FC001547,II,S,W,G,E,N,Br,S,Y,Bf,42.8,20.0,44.1,6.4,11002.0,711.0,916.0,76.0,916.0,1.9,2.5,14.5,2.86,Southern Manchurian Yellow
FC031408,II,S,P,T,E,N,Br,D,Y,Br,41.3,19.8,45.3,7.2,11002.0,703.0,909.0,86.0,909.0,2.1,2.3,13.0,2.33,ND 1392
FC031416,VII,S,P,T,A,N,Br,I,Y,Bl,45.1,14.6,54.4,8.0,491454.0,813.0,1019.0,108.0,1019.0,4.0,2.5,9.8,1.45,Non-Pop Clemson No. 2
PI054613,III,S,W,G,E,N,Dbr,S,Y,Y,44.1,19.9,53.8,7.9,11003.0,711.0,917.0,74.0,917.0,2.7,2.5,18.9,2.65,
PI054619,II,S,W,G,E,N,Br,S,Y,Bf,40.1,20.9,45.2,6.1,11002.0,704.0,915.0,97.0,915.0,2.2,2.8,16.9,2.6,
PI054855,0,S,W,T,Sa,N,Br,S,Rbr,Rbr,45.8,17.3,39.3,6.8,11001.0,709.0,907.0,69.0,907.0,2.0,3.5,20.7,0.8,
PI054873,II,S,P,T,E,N,Br,I,Br,Br,36.9,19.3,46.8,6.8,11002.0,630.0,905.0,109.0,905.0,3.5,2.3,13.2,2.23,
PI060296-2,III,S,W,G,E,N,Br,D,Gn,Bf,43.8,18.7,53.7,8.4,11003.0,714.0,925.0,86.0,925.0,2.8,2.3,21.5,2.6,Loh Yuih bah
PI068455,II,S,P,G,E,N,Br,D,Y,Y,43.1,19.9,47.3,6.9,11002.0,705.0,910.0,91.0,910.0,2.2,2.8,16.2,2.26,
PI068461-1,II,S,W,G,E,N,Br,S,Y,Bf,40.2,23.0,44.1,5.9,11002.0,706.0,911.0,86.0,911.0,2.2,3.3,13.9,2.61,
PI068479,III,S,W,G,E,N,Br,I,Y,Bf,40.4,21.9,54.2,10.2,11003.0,711.0,914.0,74.0,914.0,2.3,2.0,15.0,2.73,
PI068551-3,I,S,P,T,E,N,Br,S,Y,Bl,39.3,21.6,48.4,7.4,11002.0,701.0,909.0,81.0,909.0,2.0,3.3,15.9,2.29,
PI068610,I,S,P,T,E,N,Tn,S,Y,Br,43.2,20.6,44.8,7.0,11002.0,702.0,908.0,81.0,908.0,1.7,3.8,15.4,2.33,
PI068622,II,S,P,T,E,Ssp,Br,D,Y,Br,41.5,19.9,45.9,7.1,11002.0,709.0,919.0,86.0,919.0,1.8,2.3,14.3,2.81,
PI068655,II,S,P,G,E,N,Br,S,Y,Ib,38.1,21.7,48.7,6.8,11002.0,703.0,909.0,91.0,909.0,2.9,3.0,13.2,2.51,
PI068658,II,S,P,G,E,N,Br,S,Y,Ib,38.9,20.5,48.6,6.9,11002.0,704.0,909.0,94.0,909.0,3.0,2.8,13.5,2.62,
PI068666,II,S,P,G,E,N,Br,S,Y,Ib,38.8,22.0,48.5,7.1,11002.0,703.0,909.0,86.0,909.0,2.7,2.5,13.0,2.37,
PI068683,II,S,P,T,E,N,Br,S,Y,Bl,40.0,21.7,48.9,6.8,11002.0,701.0,915.0,89.0,915.0,1.9,3.0,17.9,2.65,
PI068692,IV,S,P,G,E,N,Br,S,Y,Y,40.1,20.0,57.0,10.2,11003.0,720.0,1002.0,99.0,1002.0,3.8,2.3,13.2,3.16,
PI068701,III,S,W,G,E,N,Br,S,Y,Bf,40.2,21.9,53.9,8.2,11003.0,712.0,916.0,71.0,916.0,2.4,2.5,14.5,2.72,
PI068713,II,S,W,G,E,N,Br,S,Y,Bf,39.9,22.4,44.9,6.5,11002.0,704.0,911.0,86.0,911.0,2.3,3.3,17.8,2.62,
PI068746,I,S,P,T,E,N,Br,S,Y,Bl,39.8,21.2,43.4,6.9,11002.0,701.0,908.0,84.0,908.0,1.7,3.0,14.2,2.08,
PI068762,II,S,P,T,E,N,Br,D,Y,Br,39.0,20.7,47.4,7.2,11002.0,711.0,920.0,79.0,920.0,2.3,2.5,15.4,2.64,
PI069993,III,S,W,G,E,N,Br,S,Y,Bf,44.3,20.2,52.0,8.8,11003.0,715.0,916.0,76.0,916.0,2.4,2.5,19.5,2.43,
PI070001,III,S,W,G,E,N,Br,I,Y,Y,44.3,19.6,49.4,8.3,11003.0,713.0,921.0,84.0,921.0,2.8,3.0,20.0,2.29,
PI070017,I,S,P,G,E,Ssp,Bl,S,Y,Bf,39.2,19.7,49.3,7.8,11002.0,702.0,908.0,81.0,908.0,1.6,2.5,13.9,2.22,
PI070559,III,S,W,G,E,N,Dbr,S,Y,Bf,42.9,20.2,48.3,8.8,11003.0,707.0,912.0,76.0,912.0,2.3,3.0,20.3,2.23,
PI071850-1,III,S,P,G,E,N,Br,S,Y,Ib,44.0,21.1,50.5,8.5,11003.0,722.0,925.0,109.0,925.0,4.3,2.5,15.4,2.66,
PI072227,IV,S,W,G,Sa,N,Br,S,Y,Bf,47.6,17.5,50.3,7.1,11003.0,801.0,1005.0,114.0,1005.0,3.8,2.5,16.5,1.96,Siu wong tau
PI072328,II,S,P,T,E,Ssp,Br,D,Y,Br,38.5,20.2,47.1,7.5,11002.0,704.0,910.0,89.0,910.0,2.3,2.5,14.3,2.65,
PI079825,VI,S,W,G,E,Ssp,Br,I,Y,Bf,47.1,16.6,56.0,7.7,491453.0,724.0,1019.0,125.0,1019.0,3.0,2.8,13.2,0.88,N154
PI079870-1,I,S,W,T,E,N,Br,S,Y,Bl,37.2,22.1,44.7,6.8,11002.0,630.0,906.0,99.0,906.0,1.8,2.3,14.7,2.32,
PI079874,III,S,W,G,E,N,Bl,S,Y,Bf,40.6,21.9,53.3,8.9,11003.0,710.0,917.0,89.0,917.0,3.0,2.3,15.5,2.66,
PI080480,III,S,W,G,E,N,Br,D,Y,Bf,40.6,22.3,53.5,10.2,11003.0,713.0,918.0,94.0,918.0,3.3,2.5,17.0,2.35,Gokuwase Daihosan Shinbon Daizu
PI080822,III,S,W,G,E,N,Br,I,Y,Lbf,44.0,19.9,52.5,7.0,11003.0,707.0,919.0,71.0,919.0,3.0,2.5,17.2,2.23,Shiheigai Shirobana
PI080834-2,IV,S,W,G,E,N,Br,S,Y,Lbf,41.0,21.9,52.8,9.4,11003.0,726.0,1013.0,107.0,1013.0,3.4,2.0,18.2,3.23,Daruma niju
PI082184,II,S,P,G,E,N,Br,D,Y,Ib,39.7,19.8,51.3,7.2,11002.0,702.0,911.0,91.0,911.0,1.9,3.0,15.2,2.35,Pepute
PI083945-3,I,S,W,G,E,Ssp,Dbr,S,Y,Y,36.8,21.4,48.6,7.1,11002.0,701.0,903.0,84.0,903.0,1.8,3.3,15.5,2.07,Dairyu Tsurunoko
PI084668-1,II,S,P,G,E,N,Bl,D,Y,Lbf,41.0,20.3,47.3,7.2,11002.0,709.0,919.0,94.0,919.0,2.5,3.5,19.0,2.44,S-96
PI085437,III,S,P,G,Sa,Ssp,Br,S,Y,Bf,44.2,19.5,47.2,9.1,11003.0,724.0,1009.0,81.0,1009.0,2.7,2.3,23.4,2.2,Y-171
PI085508,II,S,W,G,E,N,Br,S,Y,Bf,39.1,20.7,44.9,6.4,11002.0,704.0,913.0,89.0,913.0,2.2,2.8,17.8,2.7,Y-297
PI085897,VIII,S,P,T,Sa,N,Tn,I,Y,Br,45.6,16.6,58.4,7.8,491454.0,822.0,1106.0,159.0,1106.0,4.0,2.5,11.6,1.63,Koshoku Akidaizu
PI086411,I,S,P,T,E,N,Br,D,Y,Br,38.0,20.9,51.0,7.5,11002.0,701.0,831.0,74.0,831.0,1.3,2.3,12.2,1.96,Guiuchi Mame
PI086416,I,S,P,G,E,N,Br,S,Y,Y,38.7,20.2,43.5,6.8,11002.0,628.0,827.0,71.0,827.0,1.3,3.0,13.1,1.86,Aodairyu
PI086443,II,S,P,G,E,N,Tn,D,Y,Y,41.0,19.4,46.9,6.5,11002.0,710.0,911.0,79.0,911.0,2.1,2.8,18.0,2.6,Soroshi
PI087531,I,S,P,G,E,N,Br,I,Y,Y,38.8,20.1,45.6,7.1,11002.0,713.0,913.0,84.0,913.0,2.4,2.8,19.7,1.96,
PI088305,III,S,W,G,E,N,Dbr,D,Y,Bf,40.3,21.0,53.3,10.4,11003.0,718.0,917.0,66.0,917.0,2.0,2.5,13.5,2.6,
PI088309,II,S,P,G,E,N,Br,S,Y,Ib,37.1,22.0,46.3,6.1,11002.0,706.0,909.0,79.0,909.0,2.3,3.3,15.7,2.39,
PI088356,II,S,W,G,E,N,Br,S,Y,Bf,37.8,21.3,44.7,5.9,11002.0,703.0,912.0,97.0,912.0,2.2,3.0,17.4,2.45,Selection No. 7
PI088358,II,S,W,G,E,N,Br,S,Y,Bf,37.6,21.5,46.7,5.9,11002.0,703.0,913.0,97.0,913.0,2.2,2.8,16.8,2.37,Selection No. 6-A
PI088442,II,S,P,G,E,N,Br,D,Y,Y,41.3,20.0,46.5,4.9,11002.0,702.0,902.0,81.0,902.0,1.5,3.0,18.2,1.91,
PI088479,II,S,W,G,E,N,Br,S,Y,Lbf,35.7,22.4,45.7,6.6,11002.0,712.0,916.0,91.0,916.0,2.0,3.0,15.7,2.6,Kungchuling Improved No. 77
PI088798,II,S,W,Lt,E,N,Br,S,Y,Bl,38.7,20.5,45.5,6.0,11002.0,705.0,913.0,84.0,913.0,2.0,2.8,22.0,2.31,
PI088805-2,I,S,P,G,E,N,Br,S,Y,Ib,38.5,20.9,48.4,6.7,11002.0,705.0,904.0,89.0,904.0,3.8,3.0,13.9,2.13,
PI089055,I,S,W,G,E,N,Br,S,Y,Y,40.3,19.8,45.1,7.1,11002.0,630.0,828.0,66.0,828.0,1.1,3.0,15.9,2.07,
PI089060,I,S,P,G,E,N,Bl,I,Y,Y,38.1,21.1,47.3,6.5,11002.0,630.0,902.0,76.0,902.0,1.6,4.0,14.0,2.31,
PI089061,V,S,W,Lt,E,N,Tn,I,Y,Br,39.7,19.5,55.4,6.8,492374.0,628.0,923.0,110.0,923.0,4.5,3.3,16.5,1.56,
PI089061-1,I,S,P,G,E,Ssp,Tn,S,Y,Y,37.7,21.8,50.5,7.2,11002.0,629.0,831.0,79.0,831.0,1.6,2.8,11.5,1.88,
PI089064,II,S,W,G,E,N,Br,S,Y,Bf,38.1,20.3,43.2,5.9,11002.0,706.0,910.0,74.0,910.0,1.5,3.5,14.8,2.08,
PI089070,II,S,W,G,E,N,Br,S,Y,Lbf,39.7,20.2,44.4,6.2,11002.0,703.0,913.0,79.0,913.0,1.4,2.8,18.1,2.08,
PI089162,III,S,P,G,E,N,Br,D,Y,Y,43.1,21.4,50.0,7.8,11003.0,711.0,917.0,74.0,917.0,3.0,3.0,28.5,2.39,Hawante
PI090243,V,S,W,G,E,N,Br,I,Y,Bf,43.3,18.5,50.9,5.3,492374.0,623.0,927.0,100.0,927.0,4.5,3.5,12.8,2.23,Koshu
PI090251,V,S,W,G,Sa,N,Br,I,Y,Y,44.0,18.3,50.6,5.3,492374.0,623.0,927.0,155.0,927.0,4.5,2.8,15.2,1.59,
PI091091,II,S,W,G,E,N,Tn,S,Y,Y,38.3,22.3,46.3,6.4,11002.0,709.0,918.0,74.0,918.0,1.6,3.0,14.1,2.82,
PI091123,I,S,P,T,E,N,Tn,S,Y,Tn,38.3,20.1,48.4,8.0,11002.0,628.0,829.0,76.0,829.0,3.0,2.8,11.5,1.9,
PI091141,II,S,P,G,E,N,Br,D,Y,Y,39.4,20.6,47.5,6.2,11002.0,705.0,912.0,94.0,912.0,1.5,2.8,17.6,2.33,
PI091153-7,IV,S,W,G,E,N,Br,S,Y,Bf,42.3,18.6,54.5,10.6,11003.0,808.0,1026.0,112.0,1026.0,4.0,2.5,13.5,2.28,
PI091164,II,S,P,G,E,N,Br,D,Y,Y,37.1,21.2,46.4,6.4,11002.0,707.0,914.0,84.0,914.0,1.8,3.0,15.7,2.87,
PI091732-1,I,S,W,T,E,Ssp,Br,I,Br,Br,37.0,19.5,49.4,6.4,11002.0,630.0,829.0,74.0,829.0,1.4,2.0,11.1,1.94,Grade No. 2
PI092576,II,S,W,G,E,N,Br,S,Y,Y,37.5,21.1,45.0,5.7,11002.0,704.0,912.0,99.0,912.0,2.8,3.8,19.3,2.72,
PI092580,II,S,W,G,E,N,Br,S,Y,Y,37.8,20.9,45.0,6.3,11002.0,706.0,912.0,99.0,912.0,2.1,3.5,19.7,2.5,
PI092596,II,S,W,G,E,N,Br,S,Y,Bf,37.8,21.2,46.0,6.3,11002.0,706.0,915.0,81.0,915.0,1.9,3.8,19.9,2.46,
PI092603,II,S,W,G,E,N,Br,S,Y,Bf,36.2,23.1,37.3,5.3,11002.0,704.0,915.0,89.0,915.0,2.0,3.0,18.6,2.66,
PI092605,III,S,W,G,E,N,Br,S,Y,Bf,40.4,22.6,52.6,8.3,11003.0,709.0,916.0,81.0,916.0,3.3,2.3,17.9,2.39,
PI092611,II,S,W,G,E,N,Br,S,Y,Bf,36.1,21.9,42.4,5.4,11002.0,704.0,913.0,84.0,913.0,1.9,3.0,18.3,2.58,
PI092617,III,S,W,G,E,N,Br,S,Y,Bf,38.5,22.1,54.3,8.9,11003.0,711.0,918.0,79.0,918.0,3.0,2.5,17.7,2.62,
PI092627,II,S,W,G,E,N,Br,S,Y,Bf,36.2,22.2,45.0,5.9,11002.0,706.0,912.0,86.0,912.0,1.7,3.0,17.1,2.42,
PI092629,II,S,W,G,E,N,Br,S,Y,Bf,37.5,21.5,41.6,5.5,11002.0,704.0,913.0,86.0,913.0,1.9,3.0,18.3,2.19,
PI092633,II,S,W,G,E,N,Br,S,Y,Y,38.5,21.0,46.3,6.1,11002.0,705.0,914.0,99.0,914.0,2.5,3.8,18.7,2.54,
PI092661,II,S,P,G,E,N,Br,S,Y,Ig,39.0,21.4,47.9,6.1,11002.0,704.0,916.0,109.0,916.0,2.2,3.0,21.2,2.69,
PI092672,III,S,W,G,E,N,Br,I,Y,Lbf,44.1,19.9,47.5,8.8,11003.0,707.0,916.0,74.0,916.0,2.8,2.5,17.3,1.94,
PI092687,II,S,W,G,E,N,Br,S,Y,Bf,37.7,20.8,46.0,6.0,11002.0,702.0,913.0,97.0,913.0,2.3,2.8,17.0,2.62,
PI093560,II,S,W,G,E,N,Tn,S,Y,Bf,39.2,20.8,46.8,7.6,11002.0,714.0,913.0,89.0,913.0,2.6,3.3,15.0,2.47,Paimei Tou
PI094159,VI,S,W,Lt,E,N,Br,I,Y,Br,47.3,15.7,61.1,8.0,491453.0,726.0,1015.0,122.0,1015.0,3.0,2.3,10.0,0.98,Kiizaya
PI096193,I,S,P,G,E,N,Bl,D,Y,Y,39.4,20.5,47.6,8.0,11002.0,701.0,901.0,74.0,901.0,1.5,2.8,12.8,2.16,
PI096201,II,S,P,T,E,N,Br,S,Y,Bl,38.1,20.4,47.1,7.4,11002.0,702.0,912.0,79.0,912.0,2.0,3.0,16.2,2.19,
PI097605,II,S,W,G,E,N,Br,D,Y,Y,39.9,20.5,47.0,6.9,11002.0,702.0,911.0,86.0,911.0,1.4,3.3,15.9,2.21,
PI103080,IV,S,W,G,Sa,N,Br,D,Y,Bf,43.1,18.4,53.9,11.0,11003.0,802.0,1014.0,102.0,1014.0,4.8,2.3,10.3,2.27,White Soybean
PI103091,IV,S,W,G,Sa,N,Br,D,Y,Bf,42.9,18.4,52.6,10.9,11003.0,802.0,1014.0,99.0,1014.0,4.8,2.5,10.3,2.44,Wu An
PI132203,0,S,W,T,E,N,Br,S,Rbr,Rbr,44.8,18.0,42.6,6.8,11001.0,708.0,906.0,64.0,906.0,2.0,3.0,18.4,0.93,No. D. 4
PI132214,0,S,W,T,E,N,Br,S,Rbr,Rbr,44.3,17.7,38.0,7.4,11001.0,709.0,904.0,66.0,904.0,3.0,3.0,22.9,1.12,No. D. 47
PI132217,0,S,W,T,E,N,Br,S,Rbr,Rbr,44.9,17.7,40.8,7.2,11001.0,708.0,903.0,66.0,903.0,1.0,3.0,17.2,0.93,No. E. 59
PI151249,0,S,W,T,E,N,Br,S,Rbr,Rbr,46.0,17.6,38.8,6.7,11001.0,709.0,903.0,69.0,903.0,2.5,3.5,21.4,1.19,Soja Brun Hatif U486
PI153203,0,S,W,T,Sa,Ssp,Br,S,Rbr,Rbr,45.4,17.0,51.6,7.6,11001.0,708.0,910.0,69.0,910.0,2.0,3.5,21.2,0.69,U486
PI153208,0,S,W,T,Sa,N,Br,S,Rbr,Rbr,44.5,17.6,41.7,7.4,11001.0,708.0,904.0,61.0,904.0,2.0,3.0,20.0,0.94,Libson
PI153211,0,S,W,T,E,N,Br,S,Rbr,Rbr,44.3,16.9,42.2,7.7,11001.0,709.0,905.0,64.0,905.0,3.0,3.0,20.3,1.33,Cheron Early
PI153212,0,S,W,T,E,N,Br,S,Rbr,Rbr,45.0,17.1,42.5,7.1,11001.0,707.0,905.0,69.0,905.0,3.0,3.5,21.0,1.08,
PI153216,0,S,W,T,E,N,Br,S,Rbr,Rbr,45.1,15.9,42.4,7.4,11001.0,708.0,905.0,69.0,905.0,2.5,3.5,18.4,0.75,
PI153217,0,S,W,T,E,Ssp,Br,S,Rbr,Rbr,44.7,16.6,41.3,7.2,11001.0,708.0,905.0,66.0,905.0,2.5,3.0,21.8,1.3,Manitoba Brown
PI153218,0,S,W,T,E,N,Br,S,Rbr,Rbr,45.4,17.1,41.9,7.0,11001.0,709.0,907.0,61.0,907.0,2.5,3.5,23.7,0.98,Brown C
PI153219,0,S,W,T,E,N,Br,S,Rbr,Rbr,43.5,17.6,43.8,7.0,11001.0,708.0,906.0,71.0,906.0,2.0,2.5,19.0,1.07,Platter Early Brown
PI153221,0,S,W,T,E,N,Br,S,Rbr,Rbr,45.4,17.0,41.4,7.3,11001.0,708.0,908.0,69.0,908.0,2.5,4.0,22.0,0.75,
PI153222,0,S,W,T,E,N,Br,S,Rbr,Rbr,45.6,16.8,41.1,6.7,11001.0,708.0,906.0,61.0,906.0,2.0,3.5,23.2,0.82,
PI153223,0,S,W,T,E,Ssp,Br,S,Rbr,Rbr,44.4,17.4,39.5,7.1,11001.0,708.0,906.0,56.0,906.0,2.5,3.0,24.7,0.88,Ras 20
PI153225,0,S,W,T,E,N,Br,S,Rbr,Rbr,44.9,17.6,41.2,7.6,11001.0,708.0,907.0,61.0,907.0,2.0,3.5,23.0,1.16,
PI153227,I,S,P,T,E,N,Dbr,S,Y,Bl,36.8,21.1,49.3,7.5,11002.0,701.0,908.0,91.0,908.0,2.2,3.0,15.7,2.36,
PI153262,0,S,P,T,E,N,Tn,S,Y,Br,39.8,19.2,47.1,8.7,11001.0,707.0,911.0,64.0,911.0,3.0,2.0,10.2,1.8,Roumanie
PI153265,0,S,P,T,E,N,Tn,D,Bl,Bl,38.6,20.7,49.6,8.7,11001.0,705.0,913.0,53.0,913.0,2.0,2.0,18.9,1.36,Grignon 10
PI153266,I,S,P,T,E,N,Br,S,Bl,Bl,37.1,21.0,45.8,6.2,11002.0,630.0,827.0,81.0,827.0,1.2,2.3,14.7,1.71,Poppelsdorf
PI153276,I,S,W,T,E,N,Br,S,Bl,Bl,37.3,21.1,42.4,5.5,11002.0,629.0,826.0,81.0,826.0,1.7,2.0,13.5,1.82,Dieckmann Black
PI153282,I,S,W,T,E,Ssp,Br,D,Bl,Bl,38.3,20.4,44.4,6.6,11002.0,630.0,826.0,86.0,826.0,1.4,1.8,10.7,1.69,
PI153283,I,S,W,T,E,Ssp,Br,D,Bl,Bl,37.2,19.5,43.8,6.2,11002.0,630.0,826.0,86.0,826.0,1.4,1.5,10.5,1.63,Oscar Baumann
PI153303,0,S,W,T,Sa,N,Br,I,Rbr,Rbr,45.2,17.1,40.8,7.8,11001.0,709.0,907.0,66.0,907.0,3.0,4.0,21.4,0.92,Brown X
PI153311,I,S,P,T,E,N,Br,S,Bl,Bl,36.2,21.7,45.3,5.6,11002.0,629.0,828.0,81.0,828.0,1.5,2.5,16.0,2.1,C.N.S. 24 De Charlien
PI153316,I,S,P,T,E,N,Br,S,Y,Tn,38.8,20.0,44.6,5.8,11002.0,630.0,901.0,74.0,901.0,1.3,2.5,13.8,2.06,Meng Tseu
PI154189,0,S,W,T,E,N,Br,S,Y,Tn,41.6,18.6,47.9,8.0,11001.0,716.0,915.0,76.0,915.0,4.0,2.5,14.8,1.51,
PI154190,0,S,W,T,E,Ssp,Br,S,Gn,Bl,43.8,17.9,47.7,8.9,11001.0,713.0,908.0,61.0,908.0,3.0,3.5,15.9,1.09,
PI154191,0,S,P,T,E,N,Tn,S,Gn,Gn,43.5,18.8,49.0,8.2,11001.0,707.0,909.0,56.0,909.0,2.0,3.0,15.7,1.05,
PI154192,0,S,P,T,E,N,Br,D,Gn,Gn,42.3,19.2,48.0,7.6,11001.0,706.0,911.0,56.0,911.0,2.0,3.0,19.3,1.59,
PI154199,0,S,P,T,E,N,Br,S,Rbr,Rbr,46.7,17.4,42.7,6.3,11001.0,707.0,906.0,66.0,906.0,1.5,3.5,17.0,0.85,
PI159095,VII,S,W,G,A,N,Br,I,Y,Bf,46.5,15.6,56.2,7.4,491454.0,814.0,1031.0,96.0,1031.0,4.0,3.0,13.8,1.48,41S31
PI161431A,0,S,W,T,E,N,Tn,S,Y,Y,42.4,17.9,43.8,8.2,11001.0,702.0,903.0,64.0,903.0,2.5,2.5,18.6,1.26,Fiskeby II 14-4-3
PI161431B,0,S,W,T,E,N,Br,S,Y,Br,43.1,17.1,46.7,10.7,11001.0,630.0,828.0,58.0,828.0,3.0,2.5,15.0,1.01,Fiskeby II 14-4-3
PI164885,VIII,S,P,T,E,N,Tn,I,Bl,Bl,47.1,12.9,56.5,8.7,491454.0,903.0,1105.0,159.0,1105.0,5.0,2.8,6.8,0.46,
PI165672,VI,S,P,T,A,Ssp,Br,I,Gn,Br,47.8,15.4,54.9,7.8,491453.0,801.0,1020.0,122.0,1020.0,3.0,2.8,19.1,1.0,Kiangning Late
PI165673,VI,S,P,G,E,Ssp,Br,I,Y,Bf,51.5,11.7,57.9,8.8,491453.0,813.0,1018.0,106.0,1018.0,3.0,2.3,10.7,0.76,Liuchow A
PI170892,VI,S,P,G,E,N,Br,I,Y,Bf,49.4,14.4,55.2,9.2,491453.0,730.0,1014.0,76.0,1014.0,3.0,2.3,10.0,0.18,
PI171437,VI,S,P,T,A,N,Bl,I,Y,Bl,49.0,11.4,57.5,10.1,491453.0,727.0,1010.0,77.0,1010.0,3.0,2.5,3.8,0.63,
PI181531,0,S,P,T,E,Ssp,Br,S,Y,Br,40.8,18.4,43.8,7.5,11001.0,711.0,922.0,79.0,922.0,3.0,3.0,28.5,1.15,
PI189862,0,S,P,T,E,N,Br,D,Rbr,Rbr,43.5,18.1,48.4,9.6,11001.0,709.0,911.0,51.0,911.0,2.0,3.0,21.6,1.93,Brun Matif Rouest
PI189867,0,S,W,T,E,Ssp,Br,S,Rbr,Rbr,44.5,17.0,41.7,7.3,11001.0,708.0,907.0,58.0,907.0,2.0,2.5,24.8,1.2,Vilnensis
PI189868,0,S,W,T,E,Ssp,Dbr,S,Rbr,Rbr,44.9,16.8,37.6,7.5,11001.0,706.0,826.0,58.0,826.0,3.0,3.0,24.6,1.0,Grignon 19
PI189869,0,S,W,T,E,Ssp,Br,S,Br,Br,45.5,18.9,41.7,7.0,11001.0,708.0,829.0,58.0,829.0,3.0,3.5,19.5,0.95,Grignon 39
PI189870,0,S,W,T,E,N,Br,S,Rbr,Rbr,42.3,17.3,39.4,8.6,11001.0,716.0,911.0,66.0,911.0,4.0,3.0,22.2,1.26,Grignon 3
PI189871,0,S,W,T,E,N,Br,D,Br,Br,43.4,17.0,46.7,10.9,11001.0,713.0,917.0,71.0,917.0,2.5,3.0,22.8,1.8,Grignon 15
PI189881,I,S,P,G,E,N,Br,D,Y,Y,37.4,19.4,45.8,7.2,11002.0,629.0,828.0,66.0,828.0,1.3,2.5,14.2,2.04,Zelena Echo
PI189888,I,S,P,G,E,N,Tn,S,Y,Y,38.7,19.7,47.7,7.2,11002.0,630.0,830.0,86.0,830.0,2.6,2.8,12.6,2.03,Mandarin Ottawa
PI189911,I,S,P,T,E,N,Tn,S,Y,Bl,38.0,22.0,47.7,6.7,11002.0,629.0,828.0,74.0,828.0,1.4,3.0,12.9,1.9,Ried 528
PI189916,I,S,P,T,E,Ssp,Tn,D,Y,Y,38.2,20.2,46.9,6.6,11002.0,630.0,902.0,76.0,902.0,2.4,2.8,13.8,2.13,Ta Ching Mi Hwang Tau Tsa
PI189922,I,S,P,T,E,Ssp,Tn,D,Y,Tn,39.2,20.5,47.8,6.7,11002.0,630.0,902.0,71.0,902.0,2.2,2.3,13.0,2.01,Rouest 82 Jaune Mat
PI189940,0,S,P,T,E,Ssp,Br,D,Bl,Bl,45.2,19.5,42.1,8.1,11001.0,628.0,901.0,66.0,901.0,1.5,2.5,26.9,1.56,Rouest 13 Al 2
PI189946,I,S,P,T,E,Ssp,Br,S,Bl,Bl,38.0,19.1,48.9,6.6,11002.0,705.0,831.0,81.0,831.0,2.1,2.3,9.5,1.88,Tubingen
PI194626,0,S,P,T,E,Ssp,Br,S,Y,Br,40.4,18.9,44.2,7.2,11001.0,708.0,916.0,66.0,916.0,3.5,3.0,33.8,1.94,
PI194641,0,S,P,T,E,N,Br,S,Gn,Bl,44.5,19.3,45.7,6.8,11001.0,629.0,814.0,43.0,814.0,2.0,4.0,13.2,0.78,
PI194645,0,S,P,G,E,N,Br,S,Y,Lbf,44.1,18.7,40.1,5.9,11001.0,702.0,906.0,69.0,906.0,3.0,3.0,20.6,1.53,
PI196485,0,S,P,T,E,Ssp,Tn,S,Y,Br,41.4,20.0,42.7,6.8,11001.0,628.0,825.0,58.0,825.0,3.0,2.5,20.7,1.35,
PI196491,0,S,P,T,E,Ssp,Tn,D,Y,Br,42.3,19.5,39.1,5.1,11001.0,629.0,828.0,53.0,828.0,2.5,3.5,23.8,1.12,201-14-18-1-1
PI196501,0,S,P,T,E,Ssp,Tn,S,Y,Br,41.2,20.5,40.8,6.8,11001.0,628.0,902.0,58.0,902.0,3.0,2.0,22.7,1.54,634-13-42-2
PI196502,0,S,P,T,E,Ssp,Br,S,Y,Br,43.4,20.5,38.6,5.9,11001.0,629.0,821.0,48.0,821.0,2.5,4.0,22.6,0.75,634-20-4-29
PI196504,0,S,P,T,E,Ssp,Tn,D,Y,Br,47.7,18.7,46.8,7.7,11001.0,701.0,828.0,58.0,828.0,4.5,2.5,16.4,1.29,706-4-1
PI196526,0,S,P,T,E,N,Br,D,Y,Br,45.4,17.9,37.3,6.0,11001.0,628.0,903.0,61.0,903.0,3.0,3.0,25.4,0.75,
PI196528,0,S,P,T,E,N,Tn,I,Gn,Br,44.2,18.1,40.5,6.3,11001.0,628.0,820.0,48.0,820.0,3.5,4.0,16.1,0.9,
PI196529,0,S,P,T,E,Ssp,Br,S,Y,Br,46.4,18.0,38.8,5.8,11001.0,628.0,826.0,56.0,826.0,2.5,3.0,16.6,0.75,
PI200594,I,S,P,T,E,N,Tn,D,Y,Br,39.9,21.3,48.1,6.2,11002.0,701.0,830.0,71.0,830.0,1.7,2.3,13.9,2.07,La Fleche
PI219656,VI,S,W,T,A,N,Br,I,Bl,Bl,45.6,14.9,50.8,8.6,491453.0,801.0,1008.0,103.0,1008.0,3.5,2.3,5.8,0.6,
PI227565,0,S,P,-,-,G,Tn,S,Y,Br,44.0,16.5,43.9,9.1,11001.0,724.0,926.0,41.0,926.0,1.5,4.0,17.9,0.2,Wasehadaka
PI239235,VIII,S,W,G,E,N,Tn,I,Y,Bf,52.0,11.2,52.5,10.2,491454.0,823.0,1106.0,204.0,1106.0,5.0,3.0,7.2,0.62,USDA-ARD-A
