acid,MG,ST,FC,P_CLR,P_FRM,P_DENS,POD,SC_L,SC_CLR,H_CLR,protein,oil,Linoleic,Linolenic,eno,R1,R8,Hgt,Mat,Ldg,SQ,SdWgt,Yield,CommonName
PI171436,VI,D,P,G,A,N,Bl,I,Y,Ib,48.0,13.3,57.8,10.8,491453.0,813.0,1022.0,103.0,1022.0,3.0,2.0,5.8,0.83,
PI171439,VI,D,P,G,A,N,Br,I,Gn,Bf,44.2,15.6,54.8,8.9,491453.0,804.0,1015.0,75.0,1015.0,2.0,2.3,12.9,1.35,
PI171440,VI,D,P,G,A,Ssp,Br,I,Lgn,Bf,48.2,17.6,56.1,8.0,491453.0,727.0,1015.0,113.0,1015.0,3.5,2.8,15.6,1.07,
PI171442,V,D,W,T,Sa,Ssp,Bl,D,Rbr,Rbr,46.0,16.8,57.7,7.9,492374.0,629.0,925.0,85.0,925.0,3.5,2.3,12.2,1.21,
PI171445,VII,D,P,T,A,N,Tn,I,Y,Br,47.2,15.7,55.0,6.8,491454.0,813.0,1022.0,100.0,1022.0,4.0,2.5,12.3,1.9,
PI171446,VII,D,P,T,A,N,Tn,I,Y,Br,47.5,15.6,55.6,7.0,491454.0,813.0,1019.0,83.0,1019.0,3.0,2.5,13.1,2.45,
PI171449,III,D,P,-,C,N,Tn,S,Y,Bf,41.7,19.0,47.0,11.8,11003.0,728.0,1003.0,69.0,1003.0,3.8,2.5,14.1,1.22,Karika-Takuja
PI171450,III,D,P,T,A,N,Tn,S,Y,Br,46.3,15.3,50.4,11.9,11003.0,724.0,922.0,89.0,922.0,4.0,2.3,11.0,1.65,Kisaya
PI171451,VII,D,W,T,E,N,Tn,I,Y,Br,47.2,14.2,56.6,8.1,491454.0,825.0,1030.0,78.0,1030.0,4.0,3.0,7.7,1.51,Kosamame
PI171454,IV,D,P,T,Sa,N,Br,D,Bl,Bl,42.2,19.2,53.7,9.4,11003.0,716.0,1001.0,56.0,1001.0,3.0,2.5,17.8,1.39,Kurosakigake
PI172901,IV,D,P,T,E,Ssp,Br,D,Y,Tn,44.6,18.1,53.6,10.9,11003.0,725.0,1011.0,66.0,1011.0,2.7,2.3,18.5,1.92,
PI172902,V,D,W,T,E,N,Br,I,Lgn,Lgn,48.2,16.8,57.4,7.7,492374.0,621.0,925.0,54.0,925.0,2.5,2.8,14.4,1.19,
PI173994,III,D,W,G,A,Ssp,Tn,D,Y,Y,44.3,18.4,47.3,10.7,11003.0,720.0,1002.0,76.0,1002.0,4.5,2.5,22.0,1.63,Choug Puk Paik
PI173995,IV,D,P,G,E,Ssp,Br,S,Y,Y,43.7,19.2,54.9,9.6,11003.0,727.0,1016.0,84.0,1016.0,4.4,2.3,19.8,2.51,Choug Tan Paik
PI179823,V,D,P,T,A,N,Br,I,Br,Br,46.2,18.2,55.9,7.4,492374.0,619.0,919.0,56.0,919.0,3.0,2.5,20.1,1.41,Changteh
PI179825,V,D,P,T,A,N,Br,I,Bl,Bl,46.8,16.5,55.6,8.6,492374.0,623.0,917.0,60.0,917.0,3.5,2.8,18.4,1.98,Paoting
PI181532,I,D,P,T,E,Ssp,Br,S,Y,Br,38.4,20.4,45.5,6.0,11002.0,707.0,908.0,58.0,908.0,1.8,3.5,22.8,1.49,
PI181533,II,D,P,T,E,Ssp,Br,D,Y,Br,39.0,19.4,48.1,7.4,11002.0,710.0,915.0,64.0,915.0,1.1,2.8,15.6,1.96,
PI181534,II,D,W,T,E,Ssp,Br,S,Bl,Bl,38.2,20.3,43.5,5.5,11002.0,708.0,918.0,56.0,918.0,1.1,3.0,29.2,1.69,
PI181535,III,D,P,T,E,N,Br,D,Y,Br,41.5,19.5,52.9,9.0,11003.0,714.0,918.0,53.0,918.0,2.3,2.3,13.6,1.81,
PI181536,I,D,P,-,-,G,Bl,S,Y,Br,38.5,18.2,45.7,8.1,11002.0,710.0,926.0,41.0,926.0,1.3,2.5,14.2,1.28,
PI181537,II,D,P,-,-,G,Br,S,Y,Br,39.3,19.2,43.3,7.1,11002.0,712.0,926.0,38.0,926.0,1.0,2.8,21.2,1.1,
